,business_id,price_range
7280,AFDFOs2GaIyUArGyEUDQzQ,1.0
7281,FV16IeXJp2W6pnghTz2FAw,2.0
7337,pNqHRWlrbh71zbPZNd7_2g,1.0
7411,1ldDbggHHgPlj3k0SpBTKQ,2.0
7467,pj0vl4DIlDCChe80Df40Yw,2.0
7468,MI0OfnmlfkUh2xPhT1lQSg,1.0
7507,V3S6RpKgYc5XCLjgI9JeeQ,2.0
7521,CHhYILNXTM3DIhmnpXlB3Q,1.0
7550,Tigw_9LXyHL63Eu3XAXwRw,2.0
7553,zFcd_gelAUEwAvJOgiZpvg,2.0
7614,DqzyOJTJXu0Iwi8og5DJDA,1.0
7750,0w46K_07XbKvCMe8qV6Qow,1.0
7794,q28CkzJaV5yKPXysY8xewA,2.0
7841,XaJQnEg63F-CJ9kNhcqOjw,1.0
7960,e-eqwMPMDXPYSdwkQbYhSw,1.0
8047,OWQJrnXbWkLTI1-qRkkUpQ,1.0
8051,ZZtEx_UutNxz9B5knTL4tQ,1.0
8066,w9KBaltlg7B_tca-nNfj_A,2.0
8193,HNmyXUXKSr3JI2yXuU7EMQ,1.0
8298,7tF__YC7VkQs671ZtsYrgw,2.0
8299,TUxCIJ6Jj2lEOqoVIoUH4g,1.0
8330,R1_6Crx6keOZ23AWk1vOuw,1.0
8396,1MJ5xmHmeCiau07X2bQyUQ,2.0
8451,ME0olHUKPsJ9spaLudZlYA,2.0
8536,Xnwjo2TUu4AyGdmsxeG7OQ,2.0
8587,RKI9xvPSuI6mWXMjfdnjXw,1.0
14036,tcSgN0K3KhgVSSmHOLSWjQ,1.0
14079,7VDrYNPhDKFURZbK4MRi8w,1.0
14105,2Dbg35sPSGmZGcbBVNa9dA,2.0
14135,y61Tq9hErVKoT6w-qyRpwQ,1.0
14154,5tYLVPc2PKnj6E62sY6QMg,2.0
14191,UyXONLtMwszB4ojSYeFg0g,1.0
14255,k-hE27MVMEBWdMsto1DeUA,2.0
14317,5w5u6orxarBO1NBOTYiYXQ,2.0
14449,q35bospqfYhJfMsqE79NvA,2.0
14473,BhDG97oG155mLFbvoWnyoA,1.0
14624,HT-3izSFU8ZMazvSqrADyw,2.0
14647,Ug97walz3YLxPMrpkktsFg,2.0
14678,AjO3sJJ_VEsN_RZZT7gUBw,2.0
14764,qx3ffZQonHYtttXaWd9Z5Q,1.0
14776,Bpp8unXZmbyxSZS7D93Jog,1.0
14891,SfBHIShLosHKWWLFuDFUhQ,1.0
14933,jG3R4dejS9aF8MHGbE8ucQ,1.0
14987,a3MCH5E_dgZIv0LzOXIAOA,1.0
15241,4ZuYJjjFrqgyDEeYoizyIw,1.0
15360,5kOYuJtRjAUWZGDkP8vnRw,1.0
15383,lzoTXcynmfZ6Ler5B4HbfQ,2.0
15448,vh9CQdZj-1N21kW0qgKmnQ,1.0
15536,t-oEAKaswXxRUjvJrLr-Vw,1.0
15547,3GnkK4g6XHL2BbIQ7LhfAQ,1.0
15595,PAg_-9MtV7lX5rGb7yjLrQ,1.0
15635,rYw9aNaG4WOM_zCm7wnzxA,1.0
15672,k2zE7IsSi2lVpnrjqZXAdw,2.0
15719,reCYCgskR-ZAtUqRenu-Mg,1.0
16152,rGhbYmGvoqU7IVrmuNQi2g,2.0
16237,tcphcsPONrP82kUyvcELoA,2.0
16253,E9ZsPtGovfEPHlMHkDdlQA,2.0
16318,23SJEjfyU5gxY2chAKhgcw,2.0
16468,tI3J5jomrBs--n7r92186g,2.0
16739,AumuGuTg3HqvtwbLPi-ZCg,2.0
16872,8-HkVgPClpSli0ug3Uk-sQ,2.0
16981,ozfvymkBqw8j0Oa_tC5mpA,1.0
17212,PSFWA3pgyB0-uE6hG2GXAQ,2.0
17397,a1t31qMLd5fQocEjbSJ61A,2.0
20268,S6Yknt3RNREcfzpOJ0unJg,1.0
20270,6qnB6AQSur85BLx6c11dOA,1.0
20378,Za1AyC9JXMQsfmkg9k_-Gw,1.0
20670,Muq939TfNZheQx6SI1pe0Q,1.0
20796,QOWcZPFc0RhErUcNGxT-3w,2.0
20954,dLqRa4P-ejeHxPHxZ2Naqg,1.0
21111,MwiPsztuRvXR7vaEOamJqg,1.0
21146,6FZ8lGPu5QkylrF8q8J3jQ,1.0
21155,vvUqrP6K5ANqXEfY2JfnjQ,1.0
21331,1lG_Cf7fX2QWDrsRxU2iFA,2.0
