,review_id,business_id,text,stars
141900,DsBDwdCCsdHclqRn81hY1A,AFDFOs2GaIyUArGyEUDQzQ,"I have been coming here for a long time. However with time passing, so does this restaurant. When floors looked nice, bathrooms were presentable and smelled decent, and looked clean, for the past 3 years.. my folks love the won-ton mein, but the rest of the restaurant is horrible. I can't stand coming to this restaurant. It was only a few days ago when my mom said ""we aren't coming here anymore."" I have to make a review of this restaurant. The floors looked like they were going to remodel it, but never got the chance or they'd rather keep the money to themselves. Maybe get paid higher, and avoid the floor costs. The floor has been looking like it was a road in a chinese village since 2 years ago. I remember they were changing ownerships, which could be the reason to be the downfall of this restaurant. The broth for the noodle soup had no taste at all. the floors are blackened, and i had seen a waiter drop the napkins and chopsticks on the dirty, yet blackened floor. You would think he would put them in the dirty bin, yet he blew on the chopsticks wiped them with a cloth and put them back in the drawer. he also fanned out the napkins and put them back as well. OMG i just wanted to puke. What they should do? In my opinion, if it was my restaurant. Get someone to clean the restroom on an hourly basis to refill the amenities. Also downsize the restaurant, so you can afford to get flooring. If not carpet, some cheap tiles. Maybe keep the size of the restaurant and lease half of it to a boba place so then you can finally afford to fix the flooring, and maybe have a decent bathroom. I had to wait til we left and headed to rio, so i could use the restroom. Avoid this at all costs. You rather go and get some mc donalds or pho!",1
141901,IPU5myAXlLxe-IRiOE4w7w,AFDFOs2GaIyUArGyEUDQzQ,"Lunch (11am-5pm) & Late Night Specials (for $4.95, and the portions are generous, definitely the right spot to hit up for decent hot meal on a glacial global economic recovery budget.  That was how I felt about the economy back in 2011. Vegas has definitely recovered a lot from the dismal lows, but not really back to what it was before the crash.  So I continue to seek out decent restaurants that is budget friendly, and Café Noodle & Chinese Barbeque continues to be near the top of my list for curing hunger on a tight budget.

Like many other Yelpers have mentioned, the restaurant is not the cleanest.  Even after clearing a recently vacated table and sanitizing it, it still feels not quite clean. Maybe it is that lingering thin film of grease or they simply needed to use a cleaner rag to clean the tables.  Well, at least the utensils and tea cups are clean.

Anyway, I ended up here at Cafe Noodle and Chinese Barbeque, a restaurant that I have walked past numerous times to other businesses in this super busy plaza with the ridiculously inadequate parking spaces. However, the American name is completely foreign to me, and to locate it I had to look up the driving direction.  The place was relatively crowded at 11pm on a Tuesday night, and pretty much every patron was Asians.  I immediately sensed a good vibe that this place must be at least decent.

After looking over the menu, I opted for the Salt & Pepper Chicken Wings appetizer (tasty but on the greasy side, occasionally not very flavorful due to insufficient amount of ""salt & pepper"") and the Pan Fried Noodles with Beef and Vegetable (very large portion and pretty flavorful).  The food is not high end, but for the prices they are charging you, it is well worth it.  That was from my very first visit back in 2011, and the incomplete review draft sat and sat and sat some more until now.

So two years have gone by and several visits later (both dine-in and take-out), my impression remained roughly the same.  Service for the most part is their weak point.  Not the friendliest or most attentive, but occasionally you will get a waiter that stepped up his game (a refreshing change). Then there are times when you end up standing there for 5 minutes wanting to place an order and be completely ignored by the lady behind the counter and ultimately walk out and head across the street to another near 24/7 Chinese restaurant that is just as good, if not better.

The food at great value is what keeps me coming back once I get over their latest service mishaps. 
What I do recommend here:
* 2 BBQ Items Combo on Rice (I usually get their BBQ Duck and Soya Chicken) - it will set up back $8.75
* Spicy Eggplant Hot Pot - one of my favorites
* Salted Fish & Chicken Fried Rice - I usually get this to go plus something else. Slightly adventurous due to the salted fish.
* Any of their Pan Fried Flat Rice Noodle dishes - but sometimes it is a little greasy, so drink plenty of hot tea!
* Crispy Fried Chicken (all day special dine-in only offer for $5.95 each) - that is a very sweet and filling deal!

From 3PM to 5PM, they have a limited ""High Tea"" menu, customers get a free HK style milk tea or coffee (hot or cold) along with your order. Not an awesome promo, but if you have to pay for said complimentary beverage it will cost you $2.50.  

NOTE: In their recent Chinese newspaper ads, they have all day specials from $4.95 to $7.95, but I have never tested that during normal dinner time.

Minimum for credit card use is $15, so order enough or bring cash.

Review #1 of 2014. Checked!",4
141902,7cNV7l_VpNBghK5NlWWV7Q,AFDFOs2GaIyUArGyEUDQzQ,"Our family discovered this restaurant last years. We liked the. Simple Chinese food and the prices were inexpensive. We just visited this cafe twice in a week. The first trip we found a used tea bag in the tea pot  the server gave us. I brought it to the Manager attention and he apologized sincerely. he explained that sometimes customers bring their own tea bag into the restaurant. Since we enjoyed the food, we decided to let the matter rest. Two days later, we visited this restaurant again. The food was reasonably tasty. However, when we asked for the bill, that is when our entire experience went down the drain! We normally do not check the items listed on the receipt and like many we merely pay the total amount as shown. This time for no reason we checked the items listed on the bill and found out shockingly that an item of $3/- was automatically added into the bill without even informing the customer! Normally we leave cash on the table but in this instance we were shocked! how can a waitress or establishment secretly and automatically add on ""tips"" onto the bill and not inform the customer? Also if we did not even notice the ""tips"" we would have double tip bec we always leave 20% behind anyway! When we confronted the waitress and asked how can she do such a secretive billing, she merely tried to cover it up by giving ridiculous reasons ..she explained that when the convention is in town, they always add automatic tip onto every customer bill. Such practice left us totally disgusted and we pledged we will not visit this establishment ever. We learn now to check every item on the bill because you never know what extra item can be added. 

Alash a cheating waitress drove away future customer business...what a shame!",1
141903,Hh0yaiXQZ46X5wsF_AAx2Q,AFDFOs2GaIyUArGyEUDQzQ,"horrible experience ! This restaurant makes us feel like they are dishonest. One waitress appears very very sneaky.  This was our third visit and our waitress was very rude. she talked to us with disrespect and treated us like crap,! we just sat down and wanted to have a peaceful dinner. then when she handed us our bill which  we found out that the waitress added a few dollars tip without informing the us.  She wrote the amount on our bill! this place is very dishonest. Hiw can they write their own tip onto customer bills without telling the,? we are never going back there again. if you want to risk going there, make sure you check the bill for every item....do not be fooled!",1
141904,TQddgCKAM5F2uo7aBPJolw,AFDFOs2GaIyUArGyEUDQzQ,"Food: 
food was good, not great. 

Price: 
more expensive than other restaurants I've been to. 

Service: 
The guy who took my order (take out) seemed too serious and uptight, but the woman who gave me my order was friendly. 

Overall, would not come back.",3
141905,O80rCz1TTMbtbaEmH_Lc7A,AFDFOs2GaIyUArGyEUDQzQ,"1) Generous portion great for big party. 
2) Price is good for Vegas.
3) Not much of a wait for lunch and dinner
4) Service is good from the waitresses that's if you don't get the owner helping you, she is very mean. 
5) Tables are sticky so make sure you wipe down before setting your arms on top of it.",4
141906,wrvDVk6HCDBfYE1SfN92cQ,AFDFOs2GaIyUArGyEUDQzQ,"Great prices and great specials $4.95 beef with prayer sauce was very good and good sized portion. $4.95 mandarin pork was good as well again good sized portion. Both dishes could of easily been a filling meal but for that price me and the gf figured the portion has to be small we better order another dish.

 She got the shrimp and pork wonton soup which was ok not the greatest. They didn't skip on the wontons like some places do it probably had 5 or 6 good sized ones. It also had rice noodles and bok choy mixed in. I order the $5.95 bbq pork and noodles which was ehh not to favorable. You can tell them to make the noodles spicier if desired. We only finished one dish between the two of us and took the rest home.

The service was pretty good not the greatest but better then most places. Not the type of place to take Someone you're trying to impress but great for a quick bite. Complimentary tea was a plus and the food arrived very fast. Me and the gf were very impressed as we weren't expecting much from this place we were just looking for a late night meal after work. We will prob be regulars here in the future.",4
141907,y7lIeD4YvV3VYQ7oxj0JGA,AFDFOs2GaIyUArGyEUDQzQ,"Worst food and service, I asked them to bring me an ice water 3 times, I have to go get the menu by myself, the answer was They are busy, it was only 3 tables with 2 servers,how busy would be?  and every time I went always see the woman counted her money for 30 mins, ""Don't go to this place"", the staff speaks loud with bad words in front of the guest..",1
141908,gehXYG3RwJQWNTPq6ttI8A,AFDFOs2GaIyUArGyEUDQzQ,"In a rush but don't want to go to a fast food restaurant? Budget is tight? Then this is the place! Price to beat! Food is tasty and portions are large. Quick service and friendly staff. We come here mostly after midnight because the place can be packed during the day. The place could use some major renovations, though. But overall, I like it!",4
141909,Ar8Buoe34ueCXhyYFq-8Yg,AFDFOs2GaIyUArGyEUDQzQ,Service is bad and also the food here are awful. Prob is one of the worst Chinese food. Not gonna come back here again.,1
